"company_name","credit","seasearcher_id","country","country_code"
"The Great Eastern Shipping Company Ltd","1200000","5789","India","IND"
"The Shipping Corporation of India","3100000","13832","India","IND"
"Ultratech Cement Limited","200000","264181","India","IND"
"Bintang Subsea Indonesia PT","360000","","Indonesia","IDN"
"Chandra Asri Petrochemical PT","1000000","195192","Indonesia","IDN"
"P.T. CHANDRA ASRI","800000","","Indonesia","IDN"
"Petrokimia Butadiene Indonesia PT","175000","","Indonesia","IDN"
"PT Energy Transporter Indonesia","2000000","","Indonesia","IDN"
"PT Meratus Line","500000","10161","Indonesia","IDN"
"PT Pertamina (Persero)","2000000","12724","Indonesia","IDN"
"PT Prayasa Indo Mitra Sarana","400000","","Indonesia","IDN"
"PT Salam Pacific Indonesia Lines","500000","14819","Indonesia","IDN"
"PT Tanto Intim Line","1000000","","Indonesia","IDN"
"PT Waruna Nusa Sentana","250000","147341","Indonesia","IDN"
"PT. CAHAYA PERDANA TRANS","250000","254386","Indonesia","IDN"
"PT. LUMOSO PRATAMA LINE","700000","264158","Indonesia","IDN"
"PT. SAMUDERA ENERGI","300000","468491","Indonesia","IDN"
"PT. SOECHI LINES TBK","2000000","484236","Indonesia","IDN"
"PT. STYRINDO MONO","300000","","Indonesia","IDN"
"TRANSCOAL PACIFIC. PT","800000","328263","Indonesia","IDN"
"D'Amico Dry Designated Activity Company","3000000","","Ireland","IRL"
"Dead Sea Works Ltd. Supply","1000000","","Israel","ISR"
"INTERGLOBAL SHIPPING 3001","200000","204526","Israel","ISR"
"ORL Trading Ltd","2000000","493610","Israel","ISR"
"Zim Integrated Marine Services Ltd","0","","Israel","ISR"
"Alpha Trading S.p.A.","200000","60318","Italy","ITA"
"Asaro Matteo Cosimo Vincenzo","200000","99191","Italy","ITA"
"BARONE SHIPPING COMPANY S.","100000","283199","Italy","ITA"
"ENEL GLOBAL TRADING S.P.A.","1500000","","Italy","ITA"
"ENEL PRODUZIONE S.P.A.","1500000","","Italy","ITA"
"ENI SpA","500000","479198","Italy","ITA"
"Finbeta Spa","150000","1850","Italy","ITA"
"Fratelli Cosulich Spa","7500000","271003","Italy","ITA"
"GRIMALDI DEEP SEA S.P.A.","5000000","44592","Italy","ITA"
"GRIMALDI EUROMED S.P.A.","2000000","1342","Italy","ITA"
"Grimaldi group Spa","11000000","6432","Italy","ITA"
"Ignazio Messina C Spa","1200000","10236","Italy","ITA"
"Marnavi SpA","2000000","9894","Italy","ITA"
"Morfini SpA","500000","10566","Italy","ITA"
"NAVIGAZIONE MONTANARI S.P.","500000","10707","Italy","ITA"
"New Sea Generation S.R.L.","300000","541680","Italy","ITA"
"PISANO BUNKER S.R.L.","300000","311484","Italy","ITA"
"Prysmian Powerlink SRL","5000000","256381","Italy","ITA"
